Rk,Player,Age,Tm▲,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Anthony Stolarz\stolaan01,26,ANA,1,1,0,1,0,2,35,33,.943,2.05,0,0.3,59,1,1.000,0,,,0,0,0,0
2,Ryan Miller\millery01,39,ANA,23,19,9,6,4,64,685,621,.907,3.10,0,3.6,1238,11,.579,2,103,-2.06,0,1,1,0
3,John Gibson\gibsojo02,26,ANA,51,51,20,26,5,149,1552,1403,.904,3.00,1,7.8,2981,22,.431,10,106,-8.66,0,0,0,6
4,Antti Raanta\raantan01,30,ARI,33,32,15,14,3,80,1014,934,.921,2.63,2,7.0,1823,19,.594,3,87,11.69,0,0,0,2
5,Darcy Kuemper\kuempda01,29,ARI,29,29,16,11,2,65,903,838,.928,2.22,2,6.9,1753,22,.759,2,80,16.65,0,0,0,6
6,Adin Hill\hillad01,23,ARI,13,9,2,4,3,28,343,315,.918,2.62,0,2.3,641,5,.556,0,90,3.02,0,0,0,2
7,Tuukka Rask\rasktu01,32,BOS,41,41,26,8,6,85,1189,1104,.929,2.12,5,9.1,2402,28,.683,3,79,22.51,0,2,2,0
8,Jaroslav Halak\halakja01,34,BOS,31,29,18,6,6,73,905,832,.919,2.39,3,6.1,1833,18,.621,3,89,8.83,0,2,2,0
9,Linus Ullmark\ullmali01,26,BUF,34,34,17,14,3,91,1066,975,.915,2.69,1,6.6,2027,19,.559,2,94,5.39,0,0,0,4
10,Jonas Johansson\johanjo03,24,BUF,6,5,1,3,1,16,151,135,.894,2.94,0,0.6,327,1,.200,0,,,0,0,0,0
11,Carter Hutton\huttoca01,34,BUF,31,30,12,14,4,94,918,824,.898,3.18,2,4.0,1775,14,.467,7,113,-10.99,0,1,1,6
12,James Reimer\reimeja01,31,CAR,25,24,14,6,2,61,712,651,.914,2.66,3,4.4,1378,15,.625,6,95,3.38,0,0,0,2
13,Alex Nedeljkovic\nedelal01,24,CAR,4,3,1,2,1,11,97,86,.887,3.05,0,0.3,216,1,.333,1,,,0,0,0,0
14,Petr Mrazek\mrazepe01,27,CAR,40,38,21,16,2,104,1091,987,.905,2.69,3,5.6,2321,19,.500,7,105,-5.35,0,0,0,4
15,Anton Forsberg\forsban01,27,CAR,3,3,1,1,0,8,78,70,.897,3.35,0,0.3,143,1,.333,0,,,0,0,0,0
16,David Ayres\ayresda01,42,CAR,1,0,1,0,0,2,10,8,.800,4.18,0,-0.1,29,0,,0,,,0,0,0,0
17,Elvis Merzlikins\merzlel01,25,CBJ,33,31,13,9,8,71,919,848,.923,2.35,5,6.5,1815,17,.548,3,85,12.10,0,0,0,0
18,Joonas Korpisalo\korpijo01,25,CBJ,37,35,19,12,5,92,1030,938,.911,2.60,2,5.9,2126,21,.600,5,99,1.14,0,1,1,0
19,Matiss Kivlenieks\kivlema01,23,CBJ,6,4,1,1,2,14,137,123,.898,2.95,0,0.6,285,2,.500,0,,,0,0,0,0
20,Cam Talbot\talboca01,32,CGY,26,22,12,10,1,63,780,717,.919,2.63,2,5.2,1435,11,.500,2,89,7.53,0,0,0,21
21,David Rittich\rittida01,27,CGY,48,48,24,17,6,138,1478,1340,.907,2.97,2,7.9,2792,24,.500,7,103,-4.35,0,1,1,6
22,Corey Crawford\crawfco01,35,CHI,40,39,16,20,3,108,1294,1186,.917,2.77,1,8.3,2340,25,.641,3,92,9.01,0,0,0,0
23,Adam Werner\wernead01,22,COL,2,1,1,1,0,5,58,53,.914,3.42,0,0.4,88,0,.000,1,,,0,0,0,0
24,Philipp Grubauer\grubaph01,28,COL,36,36,18,12,4,90,1067,977,.916,2.63,2,6.7,2057,17,.472,4,93,6.48,0,0,0,0
25,Pavel Francouz\francpa01,29,COL,34,30,21,7,4,77,996,919,.923,2.41,1,7.0,1914,17,.567,5,85,13.06,0,0,0,2
26,Antoine Bibeau\bibeaan01,25,COL,2,1,1,0,0,5,42,37,.881,3.27,0,0.1,92,0,.000,0,,,0,0,0,0
